post_id,postUser,timestamp,likesCount,commentsCount,combined_keywords
171,chiaraferragni,2023-06-03 10:25:53+00:00,549570,981,"['first', 'night', 'forte', 'suppliedbylouisvuitton', 'sparkling heart']"
172,chiaraferragni,2023-06-02 09:52:37+00:00,536808,719,"['today', 'cf', 'summer', 'tour', 'starts']"
173,chiaraferragni,2023-06-01 13:38:58+00:00,829312,2649,"['portofino', 'anniversary', 'episode', 'streaming', 'hope']"
174,chiaraferragni,2023-05-31 13:02:02+00:00,527074,1135,"['last', 'day', 'may', 'sparkling heart']"
175,chiaraferragni,2023-05-31 17:53:39+00:00,286834,1245,[]
176,sincerelyjules,2023-04-22 15:05:00+00:00,149507,483,"['real', 'pregnancy', 'cravings', 'kinds', 'pancakes', 'ojaivalley']"
177,matildadjerf,2023-05-15 18:33:33+00:00,297685,330,"['city', 'summer', 'cocktail glass']"
178,matildadjerf,2023-05-21 18:11:52+00:00,251628,301,"['think', 'beginning']"
179,matildadjerf,2023-05-11 18:52:22+00:00,212867,166,"['house with garden', 'white heart']"
180,matildadjerf,2023-05-16 18:38:34+00:00,176203,191,['know']
181,matildadjerf,2023-05-20 18:33:24+00:00,153086,200,"['may', 'butterfly']"
182,matildadjerf,2023-05-17 18:43:01+00:00,132721,182,"['special', 'lunch', 'djerfavenue']"
183,matildadjerf,2023-05-12 18:19:18+00:00,156183,167,"['last', 'weekend', 'cocktail glass']"
184,matildadjerf,2023-05-09 18:32:22+00:00,180890,146,"['poolside', 'dolphin']"
185,matildadjerf,2023-05-18 18:47:57+00:00,143575,167,"['like', 'mother', 'son']"
186,carodaur,2023-05-15 07:01:49+00:00,30679,131,"['last', 'week', 'daurdump']"
187,carodaur,2023-05-13 10:55:42+00:00,42221,320,"['bye', 'new', 'york', 'swipe', 'ny']"
188,matildadjerf,2023-05-14 18:45:03+00:00,169137,209,"['forgot', 'fairy']"
189,carodaur,2023-05-18 10:45:12+00:00,18078,94,"['secret', 'garden', 'lunch', 'tour', 'guide']"
190,stephaniebroek,2023-03-06 18:32:13+00:00,2551,65,"['show', 'paris', 'back', 'dream', 'chanelofficial']"
191,stephaniebroek,2023-02-14 16:25:23+00:00,3260,96,"['paris', 'else', 'loves', 'hearing', 'met', 'date', 'go', 'maisonmargielafragrances']"
192,stephaniebroek,2023-02-22 19:26:09+00:00,3187,65,"['recently', 'facialist', 'complimented', 'skin', 'treatment', 'photo']"
193,stephaniebroek,2023-02-16 16:39:37+00:00,2103,73,"['34', 'celebrated', 'birthday', '5th', 'new', 'pants']"
194,stephaniebroek,2023-03-03 20:58:46+00:00,2031,55,"['paris', 'lucky', 'girl', 'syndrome', 'edition']"
195,camilacoelho,2023-04-29 17:15:28+00:00,164197,763,"['flourishing', 'w', 'loungeunderwear', 'ad', 'tulip']"
196,stephaniebroek,2023-02-19 18:57:43+00:00,1628,44,"['perfect', 'black', 'trouser', 'side', 'slay']"
197,stephaniebroek,2023-03-02 15:03:55+00:00,924,36,"['acnestudios', 'one', 'word', 'review', 'ethereal', 'black']"
198,stephaniebroek,2023-01-18 20:03:51+00:00,2687,49,[]
199,stephaniebroek,2023-01-25 19:11:37+00:00,1466,68,"['belt', 'skirts', 'pants', 'type', 'week']"
200,stephaniebroek,2023-02-05 19:32:39+00:00,1695,70,"['full', 'ann', 'demeulemeester', 'row', 'day', 'wilted flower']"
201,stephaniebroek,2023-01-09 16:15:43+00:00,1429,45,"['bag', 'coffee', 'table', 'slay']"
202,stephaniebroek,2023-02-06 18:55:07+00:00,1133,38,"['copenhagen', 'looks', 'week', 'camera', 'roll']"
203,camilacoelho,2023-04-22 19:30:23+00:00,107220,374,"['miami', 'nights', 'ootn', 'brown heart']"
204,camilacoelho,2023-04-23 21:29:38+00:00,133411,527,"['kai', 'mom', 'dropping', 'arm', 'workout', 'ootd', 'momlife']"
205,matildadjerf,2023-05-10 16:56:37+00:00,185861,270,"['hiiiii', 'soft ice cream', 'butterfly', 'fairy']"
